 m	 n	¦Â   threshold   ¦Ë     ¦Ì   offlinecost         onlinecost_default       onlinecost_balance      onlinecost_priority      onlinecost_random   on/off   ¦Ã_on  ¦Ã_off  avecost
150	4015	0.29	60	2.0	4.0	6873.8			12682.7			14179.6			12650.9			12717.4		1.85	71.06	69.29	1.71
150	4015	0.29	60	3.0	3.0	8832.0			15211.9			15951.8			15198.9			15209.8		1.72	52.58	52.03	2.20
150	4015	0.29	60	4.0	2.0	9173.4			14245.8			14206.8			14248.1			14256.5		1.55	31.51	31.31	2.28
150	4015	0.29	60	4.5	1.5	8415.6			12159.4			12000.1			12145.2			12142.9		1.44	20.70	20.57	2.10
150	4015	0.29	60	4.8	1.2	7596.6			10555.3			10369.7			10552.0			10555.4		1.39	15.34	15.29	1.89
150	4015	0.29	60	5.0	1.0	6871.9			9237.9			9091.3			9233.3			9235.2		1.34	11.78	11.73	1.71
150	10750	0.37	220	1.0	5.0	10850.8			20996.5			25427.7			20998.9			21072.8		1.94	90.60	85.47	1.01
150	10750	0.37	220	1.2	4.8	12658.8			24504.9			29693.2			24500.3			24521.0		1.94	88.42	83.88	1.18
150	10750	0.37	220	1.5	4.5	15280.1			29422.8			35246.9			29437.0			29453.0		1.93	84.84	81.13	1.42
150	10750	0.37	220	2.0	4.0	19364.8			36593.9			42883.7			36621.0			36614.0		1.89	78.20	75.74	1.80
150	10750	0.37	220	3.0	3.0	25823.2			46312.6			50754.0			46361.4			46319.4		1.79	62.73	61.55	2.40
150	10750	0.37	220	4.0	2.0	28367.4			46643.2			47983.4			46621.5			46609.3		1.64	42.29	41.76	2.64
150	10750	0.37	220	4.5	1.5	27035.1			41578.9			41360.9			41555.3			41574.6		1.54	29.99	29.72	2.51
150	10750	0.37	220	4.8	1.2	24954.1			36241.1			35703.9			36217.3			36237.1		1.45	21.84	21.75	2.32
150	10750	0.37	220	5.0	1.0	22840.8			31684.0			31144.7			31661.3			31661.2		1.39	16.44	16.33	2.12
150	16515	0.51	490	1.0	5.0	17577.4			33592.7			40190.8			33676.9			33645.5		1.91	92.82	87.05	1.06
150	16515	0.51	490	1.2	4.8	20375.4			39181.9			47259.7			39278.5			39261.0		1.92	91.00	85.85	1.23
150	16515	0.51	490	1.5	4.5	24488.3			47181.0			56894.8			47312.3			47272.2		1.93	88.19	83.74	1.48
150	16515	0.51	490	2.0	4.0	30991.4			59291.7			70840.2			59422.1			59343.7		1.91	83.02	79.74	1.88
150	16515	0.51	490	3.0	3.0	41989.1			77494.9			89398.1			77764.4			77538.5		1.85	70.28	68.42	2.54
